"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","NOTES","FATALITIES"
"2450","2008-01-30",2008,"Battle-No change of territory","Unidentified Ethnic Militia (Kenya)","Unidentified Ethnic Militia (Kenya)","Kenya","Kericho","Belgut","Waldai","Kapsoit",-0.3166,35.2167,"DJI 2/2/08","8 killed in post-election ethnic clashes - sparked by killing of opposition MP - DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED.",8
"2451","2008-01-30",2008,"Battle-No change of territory","Unidentified Ethnic Militia (Kenya)","Unidentified Ethnic Militia (Kenya)","Kenya","Nyamira","West Mugirango","Bogichora","Nyamira",-0.5666,34.9167,"DJI 2/2/08","8 killed in post-election ethnic clashes - sparked by killing of opposition MP - DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED.",8
"2452","2008-01-30",2008,"Violence against civilians","Police Forces of Kenya (2002-2013)","Civilians (Kenya)","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"Reuters","Rioting broke out in response to the killing of opposition MP. Police intervened killing one young boy who was trying to escape from the area.",1
"2453","2008-01-30",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Eldoret",0.516667,35.283333,"APRS 2/2/08","A church was burned and residences attacked - ongoing post-election ethnic violence (despite signing of peace deal)",0
"2454","2008-01-30",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nyamira","North Mugirango","Itibo","Ikonge",-0.5333,35.0167,"Morning Star Online","Machetes and poisoned arrows were used by a 100 strong mob to kill 8 in response to the killing of ODM MP.",8
"2455","2008-01-30",2008,"Violence against civilians","Kalenjin Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Kericho","Ainamoi","Kipchebor","Kericho",-0.36774,35.28314,"APRS 2/2/08","Kalenjin youths killed 2 Kikuyu civilians - oongoing post-election ethnic violence.",2
"2456","2008-01-31",2008,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Kisii","Nyaribari Chache","Kisii Central","Kisii",-0.68333,34.766667,"BBC Monitoring","Rival groups battle in ongoing post-election violence -police intervened killing 4 (may have involved civilians)",4
"2457","2008-01-31",2008,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Unidentified Armed Group (Kenya)","Kenya","Kisii","Nyaribari Chache","Kisii Central","Kisii",-0.68333,34.766667,"BBC Monitoring","Rival groups battle in ongoing post-election violence DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED -police intervened killing 4 (coded seperately)",0
"2458","2008-01-31",2008,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Unidentified Ethnic Militia (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Chepilat",0.5167,35.2833,"DJI 2/2/08","2 shot dead by police during post-election ethnic violence (battle between Kisii and Kalenjin - fatalities not actor specific). LOCATION: Chepilat near Eldoret, Uasin Gishu District",2
"2459","2008-01-31",2008,"Battle-No change of territory","Unidentified Ethnic Militia (Kenya)","Unidentified Ethnic Militia (Kenya)","Kenya","Nyamira","Borabu","Esise","Manga",-0.8166,35.0167,"DJI 2/2/08","3 killed (machetes) during post-election ethnic violence. DETAILS NOT SPECIFIED.",3
"2460","2008-01-31",2008,"Battle-No change of territory","Unidentified Ethnic Militia (Kenya)","Unidentified Ethnic Militia (Kenya)","Kenya","Nyamira","West Mugirango","Bogichora","Nyamira",-0.5666,34.9167,"DJI 2/2/08","8 more killed in post-election ethnic clashes - sparked by killing of opposition MP - DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED.",8
"2461","2008-01-31",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nakuru","Naivasha","Lake View","Naivasha",-0.720236,36.428531,"BBC Monitoring","Women targeted and chased by suspected Mungiki gangs who demanded that they did not wear trousers - it is part of the sects rules that the women may not adopt any Western traditions.",0
"2462","2008-01-31",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kericho","Ainamoi","Kipchebor","Kericho",-0.36774,35.28314,"Reuters","Tribal gangs burned homes and tea plantations in Kenyas Rift Valley after the peace deal was signed by political leaders the previous day. (20 UNCONFIRMED DEATHS reported in total - DETAILS NOT SPECIFIED)",0
"2464","2008-01-31",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kisii","Nyaribari Chache","Kisii Central","Kisii",-0.68333,34.766667,"Reuters","Tribal gangs burned homes and tea plantations in Kenyas Rift Valley after the peace deal was signed by political leaders the previous day. (20 UNCONFIRMED DEATHS reported in total - DETAILS NOT SPECIFIED)",20
"2465","2008-01-31",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Bomet","Chepalungu","Nyangores","Sotik",-0.7833,35.35,"Reuters","6 killed by raiders and homes burned -(20 UNCONFIRMED DEATHS in the greater area reported in total - DETAILS NOT SPECIFIED)",6
"2466","2008-01-31",2008,"Violence against civilians","Kisii Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Chepilat",0.5167,35.2833,"DJI 2/2/08","4 killed (machetes) during post-election ethnic violence. FATALITIES - NOT ACTOR SPECIFIC. LOCATION: Chepilat Near Eldoret, Uasin Gishu District",4
"2467","2008-01-31",2008,"Violence against civilians","Kisii Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Chepilat",0.5167,35.2833,"DJI 2/2/08","Continued ethnic violence. LOCATION: Chepilat near Eldoret",0
"2468","2008-02-01",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Sugoi",0.5167,35.2833,"APRS 4/2/08","Orphanage was attacked an looted. LOCATION: Sugoi, near Eldoret",0
"2469","2008-02-03",2008,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Unidentified Armed Group (Kenya)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"DJI 5/2/08","9 were shot by police seeking people responsible for attacks on houses and other property - LOCATION: Rift Valley (capital of district = Nakuru)",9
"2470","2008-02-03",2008,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Unidentified Armed Group (Kenya)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"DJI 5/2/08","3 killed in clashes with youth gangs armed with bows and arrows near a roadblock DETAILS NOT SPECIFIED - LOCATION: Rift Valley (capital of district = Nakuru)",3
"2471","2008-02-18",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"DJI 20/2/08","Riots in protest of police raid during which 80 people were arrested for not paying rent - the rioters were protesting on the grounds that the post-election violence had made paying rent impossible for many. Rioters attacked a bus during the incident.",0
"2472","2008-02-18",2008,"Violence against civilians","Samburu Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Kajiado","Kajiado West","Magadi","Magadi",-1.9,36.2833,"BBC Monitoring","10 killed during attack by about 500 cattle rustlers. 4 more bodies were found in the days following the raid.",14
"2473","2008-02-19",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"DJI 20/2/08, The Nation 22/2/08","Riots continued in response to earlier police raid - violence also spread to include Korogocho & Ngomongo areas (all in Nairobi)",0
"2474","2008-02-19",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Nation 22/2/08","1 man was killed in Korogocho Slum Area, Nairobi by a gang said to be sympathetic to landlords who claim their houses were taken over by illegal tenants - an issue stemming from the disruption of livlihoods and displacement of people caused by electoral",1
"2475","2008-02-28",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Baringo","Baringo North","Bartabwa","Kinyach",0.9333,35.6833,"All Africa","Raid - DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED. LOCATION: Kinyach and Kapturo areas, Bartabwa division",0
"2476","2008-02-29",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Rumuruti",0.3167,36.5,"BBC Monitoring","1 killed in raid - DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED.",1
"2477","2008-03-01",2008,"Violence against civilians","SLDF: Sabaot Land Defence Force","Civilians (Kenya)","Kenya","Trans Nzoia","Saboti","Matisi","Kitale",1.0167,35,"APRS 3/3/08, DJI 3/3/08 + Update, BBCMNF 3/3/08, All Africa 3/3/08","6 burned to death in their houses/ 6 killed by machete/ 3 shot dead - during raid by suspected SLDF. (Rift Valley, Trans Nzoia Area) - linked to ongoing land dispute. LOCATION: Embakasi & Kasarani Village (near Kitale), Trans Nzoia District (district cap",15
"2478","2008-03-01",2008,"Violence against civilians","SLDF: Sabaot Land Defence Force","Civilians (Kenya)","Kenya","Trans Nzoia","Saboti","Matisi","Kitale",1.0167,35,"APRS 3/3/08, DJI 3/3/08 + Update, BBCMNF 3/3/08, All Africa 3/3/08","Raid linked to ongoing land dispute - raiders demanded security payments and for the boys to join the SLDF. LOCATION: Embakasi & Kasarani Village (near Kitale), Trans Nzoia District (district capital = Kitale). FATALITIES: reported estimates include 12,",12
"2479","2008-03-02",2008,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Nation 5/3/08","Protesting against a government deadline to relocate hawkers to a new area. Police intervened using teargas. No injuries reported.",0
"2480","2008-03-02",2008,"Violence against civilians","SLDF: Sabaot Land Defence Force","Civilians (Kenya)","Kenya","Trans Nzoia","Endebess","Chepchoina","Teldet Forest",1.1333,34.7,"DJI 5/3/08","Police shot dead 2 suspected SLDF raiders who were said to have been invovled in the local attacks the previous day. LOCATION: Teldet Forest (part of Mount Elgon forest park), Trans Nzoia District.",2
"2481","2008-03-03",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters","Riots were held demanding the release of Mungiki leader Maina Njenga. Police intervened. No injuries reported.",0
"2482","2008-03-03",2008,"Violence against civilians","Luhya Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Trans Nzoia","Saboti","Matisi","Kitale",1.0167,35,"APRS 7/3/08","Kikuyu farm was attacked by Luhya raiders - DETAILS NOT SPECIFIED.",0
"2483","2008-03-04",2008,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Unidentified Armed Group (Kenya)","Kenya","Trans Nzoia","Saboti","Matisi","Kitale",1.0167,35,"All Africa","A police office shot dead 1 man who attacked him as he tried to disperse people who had invaded a nearby farm. AFNEWS records 2 deaths in battle b/n police & raiders in shootout (details not specified - assumed to be same event)",1
"2484","2008-03-04",2008,"Battle-No change of territory","Kikuyu Ethnic Militia (Kenya)","Turkana Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"DJI 11/3/08","*[GENERAL EVENT - recording the involvement of Turkana & Kikuyu ethnic groups in the persistent series of raids and battles - actor specification within specific events is not possible from the reporting]*",0
"2485","2008-03-04",2008,"Battle-No change of territory","Unidentified Ethnic Militia (Kenya)","Unidentified Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"All Africa","9 killed in battle which followed on from raids in various - unkown how many were civilians. LOCATIONS: Aiyam, Mutamaiyo & Mgunda in Rumuturi Division, Laikipia District. ACTORS NOT SPECIFIED/ DETAILS NOT SPECIFIED.",9
"2486","2008-03-04",2008,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"All Africa","Raids - fatalities not specified - recorded seperately as deaths in ensuing battle. LOCATIONS: Aiyam, Mutamaiyo & Mgunda in Rumuturi Division, Laikipia District. ACTORS NOT SPECIFIED/ DETAILS NOT SPECIFIED.",0
"2487","2008-03-04",2008,"Violence against civilians","Turkana Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia North","Sosian","Aiyam",0.3667,36.55,"APRS 7/3/08","5 killed in 2 seperate villages near Aiyam in what is said to be an ethnic linked revenge attack.",5
"2488","2008-03-04",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Rumuruti",0.3167,36.5,"All Africa","Raids - leading to battle. DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED. Linked to revenge attacks from raids which occured in the previous week. LOCATION: various places within Rumuruti division, Laikipia West District",0
"2489","2008-03-05",2008,"Battle-No change of territory","Kikuyu Ethnic Militia (Kenya)","Turkana Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"DJI 11/3/08","*[GENERAL EVENT - recording the involvement of Turkana & Kikuyu ethnic groups in the persistent series of raids and battles - actor specification within specific events is not possible from the reporting]*",0
"2490","2008-03-05",2008,"Violence against civilians","Turkana Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia North","Sosian","Aiyam",0.3667,36.55,"APRS 7/3/08","2 killed in what is said to be an ethnic linked revenge attack.",2
"2491","2008-03-05",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Rumuruti",0.3167,36.5,"All Africa","Raids continue including unconfirmed killings. DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED. LOCATION: various places within Rumuruti division, Laikipia West District",0
"2492","2008-03-06",2008,"Battle-No change of territory","Kikuyu Ethnic Militia (Kenya)","Turkana Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"DJI 11/3/08","*[GENERAL EVENT - recording the involvement of Turkana & Kikuyu ethnic groups in the persistent series of raids and battles - actor specification within specific events is not possible from the reporting]*",0
"2493","2008-03-06",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Rumuruti",0.3167,36.5,"All Africa","Raids continue including unconfirmed killings. DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED. LOCATION: various places within Rumuruti division, Laikipia West District",0
"2494","2008-03-07",2008,"Battle-No change of territory","Kikuyu Ethnic Militia (Kenya)","Turkana Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"DJI 11/3/08","*[GENERAL EVENT - recording the involvement of Turkana & Kikuyu ethnic groups in the persistent series of raids and battles - actor specification within specific events is not possible from the reporting]*",0
"2495","2008-03-07",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Rumuruti",0.3167,36.5,"All Africa","Raids continue including unconfirmed killings. DETAILS NOT SPECIFIED/ ACTORS NOT SPECIFIED. LOCATION: various places within Rumuruti division, Laikipia West District. FATALITIES: BBC Estimate 19 fatalities over 2 days *unreliable details compared with",19
"2496","2008-03-08",2008,"Battle-No change of territory","Kikuyu Ethnic Militia (Kenya)","Turkana Ethnic Militia (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Laikipia",0.41667,36.75,"DJI 11/3/08","*[GENERAL EVENT - recording the involvement of Turkana & Kikuyu ethnic groups in the persistent series of raids and battles - actor specification within specific events is not possible from the reporting]*",0
"2497","2008-03-08",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia North","Sosian","Aiyam",0.3667,36.55,"Xinhua","4 shot dead by raiders. FATALITIES NOT SPECIFIED - but involved Turkana & Kikuyu tribes.",4
"2498","2008-03-08",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Marsabit","North Horr","North Horr","North Horr",3.3167,37.0667,"BBC Monitoring","2 killed by raiders. DETAILS NOT SPECIFIED.",2
"2499","2008-03-11",2008,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Marsabit","North Horr","North Horr","North Horr",3.3167,37.0667,"Reuters","4 dead + 5 injured in attack by raiders in Buluk grazing area, Chalbi District. 8 children were also reported missing after the raid.",4
"2500","2008-03-12",2008,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. LOCATION: Central Kenya (Central Province capital = Nyeri) 
*[Police intervened killing 4 suspected Mungiki members - not recor",4
"2501","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Eldoret",0.516667,35.283333,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2502","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Limuru","Limuru East","Limuru",-1.1,36.65,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2503","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"AJAZEN 14/4/08, Charleston Gazette 14/4/08","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2504","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Muranga","Kiharu","Township","Muranga",-0.7166,37.15,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2505","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. *[4 killed - 1 recorded here only due to apparent overlap with other coded Nairobi events considering the total deathtoll for t",1
"2506","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nakuru","Naivasha","Lake View","Naivasha",-0.720236,36.428531,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2507","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. (Nakuru town specifically)",0
"2508","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"AJAZEN 14/4/08","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. (Police intervened - 3 civilians who were killed as they were caught in the battle). LOCATION: Rift Valley Province (provincial",3
"2509","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. (Nyeri town specifically)",0
"2510","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"AJAZEN 14/4/08","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. (Police intervened killing 4 suspected Mungiki members coded seperately). LOCATION: Central Kenya (Central Province capital = N",0
"2511","2008-03-12",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Thika Town","Kamenu","Thika",-1.05,37.083333,"AJAZEN 14/4/08, Charleston Gazette 14/4/08, The Nation 15/4/08","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. 1 reported to have been shot dead - DETAILS NOT SPECIFIED *[possibly included in the 5 reported killed in the Nairobi area]*",1
"2512","2008-03-12",2008,"Violence against civilians","Military Forces of Kenya (2002-2013)","Civilians (Kenya)","Kenya","Trans Nzoia","Endebess","Endebess","Endebess",1.06667,34.85,"BBC Monitoring","Military shot dead suspected SLDF leader when he refused to stop his vehichle.",1
"2513","2008-03-12",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Eldoret",0.516667,35.283333,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. 1 reported to be lynched to death - assumed to be victim of Mungiki violence.",1
"2514","2008-03-12",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Baringo","Baringo South","Marigat","Waso",0.5,36,"All Africa","Riots broke out across Kenya in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Police intervened. LOCATION: Rift Valley Province (provincial capital = Nakuru)
*[3 civilians who were caught in the battle wer",0
"2515","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Embakasi North","Dandora Area Ii","Dandora",-1.250046,36.900102,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Coincided with Mungiki press conference in Ndunyu, Dagoretti demanding the release of Njenga.",0
"2516","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Kiambu","Kabete","Gitaru","Gitaru",-1.2333,36.6833,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Cars were stoned on the Kisumu highway (coded seperately as attack on cvilians)",0
"2517","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Roysambu","Kahawa West","Kahawa",-1.183397,36.916538,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Coincided with Mungiki press conference in Ndunyu, Dagoretti demanding the release of Njenga.",0
"2518","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Dagoretti South","Kawangware","Kawangware",-1.282788,36.75166,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Coincided with Mungiki press conference in Ndunyu, Dagoretti demanding the release of Njenga.",0
"2519","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Embakasi Central","Kayole Central","Kayole",-1.277487,36.912872,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Coincided with Mungiki press conference in Ndunyu, Dagoretti demanding the release of Njenga.",0
"2520","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2521","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Nation 15/4/08","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Empty Passenger train was derailed. Rioting took place in Eastlands, Nairobi.",0
"2522","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Muranga","Kigumo","Muthithi","Ndunyu",-0.8166,37.0333,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Coincided with Mungiki press conference demanding the release of Njenga. AREAS AFFECTED INCLUDED: Mwiki, Tasia, Zimmerman and Komarcok estat",0
"2523","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Laikipia","Laikipia West","Igwamiti","Nyahururu",0.0333,36.3667,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga.",0
"2524","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Gatundu South","Kiamwangi","Gatundu",-1.05,36.9,"The Nation 15/4/08","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. 2 killed (coded seperately)",0
"2525","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Police intervened killing 2.",2
"2526","2008-03-13",2008,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Ruiru","Kiuu","Ruiru",-1.15,36.9667,"The Nation 15/4/08","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Police intervened, killing 1.",2
"2527","2008-03-13",2008,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","SLDF: Sabaot Land Defence Force","Kenya","Trans Nzoia","Saboti","Matisi","Kitale",1.0167,35,"All Africa","3 suspected SLDF militia (or other Mt Elgon militia group) were shot dead by police (FATALITIES: AFNWS reported 4 deaths the following month)",3
"2528","2008-03-13",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Kiambu","Gatundu South","Kiamwangi","Gatundu",-1.05,36.9,"The Nation 15/4/08","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. 3 found dead with stab wounds - assumed to be victims of Mungiki violence.",3
"2529","2008-03-13",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Kiambu","Kabete","Gitaru","Gitaru",-1.2333,36.6833,"The Nation 15/4/08","Riots continued in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Commuter trucks and private cars were stoned on the Kisumu highway",0
"2530","2008-03-13",2008,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring","Second day of riots in response to the beheading of Virginia Nyaiko, wife of imprisoned Mungiki leader, Maina Njenga. Mungiki killed 1 civilian during the violence. The violence occured in Ngara estate, Nairobi.",1
